2020-03-02T00:00:00.000Z,1583107200000,1,0,0,2,2,2,0,0,2,,,,,,,,
2020-03-03T00:00:00.000Z,1583193600000,1,0,0,0,0,2,0,0,2,,,,,,,,
2020-03-04T00:00:00.000Z,1583280000000,1,0,0,0,0,2,0,0,2,,,,,,,,
2020-03-05T00:00:00.000Z,1583366400000,1,0,0,0,0,2,0,0,2,,,,,,,,
2020-03-06T00:00:00.000Z,1583452800000,1,0,0,2,2,4,0,0,4,,,,,,,,
2020-03-07T00:00:00.000Z,1583539200000,1,0,0,0,0,4,0,0,4,,,,,,,,
2020-03-08T00:00:00.000Z,1583625600000,1,0,0,2,2,6,0,0,6,,,,,,,,
2020-03-09T00:00:00.000Z,1583712000000,1,0,0,13,13,19,0,0,19,,,,,,,,
2020-03-10T00:00:00.000Z,1583798400000,1,0,2,8,6,27,2,0,25,,,,,,,,
2020-03-11T00:00:00.000Z,1583884800000,1,1,0,7,6,34,2,1,31,,,,,,,,
2020-03-12T00:00:00.000Z,1583971200000,1,0,0,0,0,34,2,1,31,,,,,,,,
2020-03-13T00:00:00.000Z,1584057600000,1,3,0,35,32,69,2,4,63,,,,,,,,
2020-03-14T00:00:00.000Z,1584144000000,1,1,6,27,20,96,8,5,83,,,,,,,,
2020-03-15T00:00:00.000Z,1584230400000,1,0,0,21,21,117,8,5,104,,,,,,,,
2020-03-16T00:00:00.000Z,1584316800000,1,0,0,17,17,134,8,5,121,,,,,,,,
2020-03-17T00:00:00.000Z,1584403200000,1,0,1,38,37,172,9,5,158,,,,,,,,
2020-03-18T00:00:00.000Z,1584489600000,1,14,2,55,39,227,11,19,197,,,,,,,,
2020-03-19T00:00:00.000Z,1584576000000,1,6,4,82,72,309,15,25,269,,,,,,,,
2020-03-20T00:00:00.000Z,1584662400000,1,7,2,60,51,369,17,32,320,,,,,,,,
2020-03-21T00:00:00.000Z,1584748800000,1,6,3,81,72,450,20,38,392,,,,,,,,
2020-03-22T00:00:00.000Z,1584835200000,1,10,9,64,45,514,29,48,437,,,,,,,,
2020-03-23T00:00:00.000Z,1584921600000,1,1,1,65,63,579,30,49,500,,,,,,,,
2020-03-24T00:00:00.000Z,1585008000000,1,6,0,106,100,685,30,55,600,,,,,,,,
2020-03-25T00:00:00.000Z,1585094400000,1,3,1,105,101,790,31,58,701,,,,,,,,
2020-03-26T00:00:00.000Z,1585180800000,1,20,4,103,79,893,35,78,780,,,,,,,,
2020-03-27T00:00:00.000Z,1585267200000,1,9,11,153,133,1046,46,87,913,,,,,,,,
2020-03-28T00:00:00.000Z,1585353600000,1,15,13,109,81,1155,59,102,994,,,,,,,,
2020-03-29T00:00:00.000Z,1585440000000,1,12,5,130,113,1285,64,114,1107,,,,,,,,
2020-03-30T00:00:00.000Z,1585526400000,1,8,11,129,110,1414,75,122,1217,,,,,,,,
2020-03-31T00:00:00.000Z,1585612800000,1,14,6,114,94,1528,81,136,1311,,,,,,,,
2020-04-01T00:00:00.000Z,1585699200000,1,21,22,149,106,1677,103,157,1417,,,,,,,,
2020-04-02T00:00:00.000Z,1585785600000,1,13,9,113,91,1790,112,170,1508,,,,,,,,
2020-04-03T00:00:00.000Z,1585872000000,1,11,22,196,163,1986,134,181,1671,,,,,,,,
2020-04-04T00:00:00.000Z,1585958400000,1,10,16,106,80,2092,150,191,1751,,,,,,,,
2020-04-05T00:00:00.000Z,1586044800000,1,7,14,181,160,2273,164,198,1911,,,,,,,,
2020-04-06T00:00:00.000Z,1586131200000,1,11,28,218,179,2491,192,209,2090,,,,,,,,
2020-04-07T00:00:00.000Z,1586217600000,1,12,12,247,223,2738,204,221,2313,,,,,,,,
2020-04-08T00:00:00.000Z,1586304000000,1,19,18,218,181,2956,222,240,2494,,,,,,,,
2020-04-09T00:00:00.000Z,1586390400000,1,40,30,337,267,3293,252,280,2761,,,,,,,,
2020-04-10T00:00:00.000Z,1586476800000,1,26,30,219,163,3512,282,306,2924,,,,,,,,
2020-04-11T00:00:00.000Z,1586563200000,1,21,4,330,305,3842,286,327,3229,,,,,,,,
2020-04-12T00:00:00.000Z,1586649600000,1,46,73,399,280,4241,359,373,3509,,,,,,,,
2020-04-13T00:00:00.000Z,1586736000000,1,26,21,316,269,4557,380,399,3778,,,,,,,,
2020-04-14T00:00:00.000Z,1586822400000,1,60,46,282,176,4839,426,459,3954,,,,,,,,
2020-04-15T00:00:00.000Z,1586908800000,1,10,20,297,267,5136,446,469,4221,,,,,,,,
2020-04-16T00:00:00.000Z,1586995200000,1,27,102,380,251,5516,548,496,4472,,,,,,,,
2020-04-17T00:00:00.000Z,1587081600000,1,24,59,407,324,5923,607,520,4796,,,,,,,,
2020-04-18T00:00:00.000Z,1587168000000,1,15,24,325,286,6248,631,535,5082,,,,,,,,
2020-04-19T00:00:00.000Z,1587254400000,1,47,55,327,225,6575,686,582,5307,,,,,,,,
2020-04-20T00:00:00.000Z,1587340800000,1,8,61,185,116,6760,747,590,5423,,,,,,,,
2020-04-21T00:00:00.000Z,1587427200000,1,26,95,375,254,7135,842,616,5677,,,,,,,,
2020-04-22T00:00:00.000Z,1587513600000,1,19,71,283,193,7418,913,635,5870,,,,,,,,
2020-04-23T00:00:00.000Z,1587600000000,1,12,47,357,298,7775,960,647,6168,,,,,,,,
2020-04-24T00:00:00.000Z,1587686400000,1,42,42,436,352,8211,1002,689,6520,,,,,,,,
