<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
03/02/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5452.704,5491.135,5354.62,5361.246,6887978157288
03/03/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5361.246,5545.774,5431.296,5518.628,7497664011538
03/04/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5518.628,5651.855,5516.805,5650.136,6904688556077
03/05/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5650.136,5715.941,5613.719,5638.13,7031905364676
03/06/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5638.13,5577.802,5498.54,5498.54,6688639104861
03/09/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5498.54,5364.604,5133.151,5136.809,9404817464922
03/10/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5136.809,5278.423,5149.452,5220.826,7246547340465
03/11/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5220.826,5264.48,5112.319,5154.105,6973460927603
03/12/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5154.105,5040.988,4895.748,4895.748,5977255781397
03/13/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4895.748,4937.993,4639.914,4907.571,9504365999373
03/16/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4907.571,4904.536,4677.75,4690.657,6459248196266
03/17/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4690.657,4698.044,4447.956,4456.749,7019497205776
03/18/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4456.749,4473.824,4284.675,4330.674,8106923217913
03/19/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4330.674,4329.619,4093.714,4105.422,5170766386919
03/20/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4105.422,4238.263,3918.34,4194.944,13178320784045
03/23/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4194.944,4194.944,3975.191,3989.517,5603218642771
03/24/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),3989.517,4123.562,3911.716,3937.632,7764967066590
03/26/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),3937.632,4370.66,3935.914,4338.904,12742340596078
03/27/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4338.904,4697.666,4338.916,4545.571,12365437175840
03/30/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4545.571,4545.364,4317.714,4414.5,5559705602876
03/31/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4414.5,4569.473,4416.495,4538.93,7916097639100
